Start Date,End Date,Grand Prix,Circuit,Winner ID,Winner,Flag,Country,Event Link,Completed
2023-05-05T18:00Z,2023-05-07T19:30Z,Crypto.com Miami GP,Miami International Autodrome,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026752,True
2023-05-19T11:30Z,2023-05-21T13:00Z,Qatar Airways Emilia Romagna GP,Autodromo Enzo e Dino Ferrari,,,,,/f1/race/_/id/600026753,False
2023-05-26T11:30Z,2023-05-28T13:00Z,Monaco GP,Circuit de Monaco,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026754,True
2023-06-02T11:30Z,2023-06-04T13:00Z,AWS Spanish GP,Madring,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026755,True
2023-06-16T17:30Z,2023-06-18T18:00Z,Pirelli Canadian GP,Circuit Gilles-Villeneuve,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026756,True
2023-06-30T11:30Z,2023-07-02T13:00Z,Rolex Austrian GP,Red Bull Ring,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026757,True
2023-07-07T11:30Z,2023-07-09T14:00Z,Aramco British GP,Silverstone Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026758,True
2023-07-21T11:30Z,2023-07-23T13:00Z,Qatar Airways Hungarian GP,Hungaroring,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026759,True
2023-07-28T11:30Z,2023-07-30T13:00Z,MSC Cruises Belgian GP,Circuit de Spa-Francorchamps,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026760,True
2023-08-25T10:30Z,2023-08-27T13:00Z,Heineken Dutch GP,Circuit Park Zandvoort,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026761,True
2023-09-01T11:30Z,2023-09-03T13:00Z,Pirelli Italian GP,Autodromo Nazionale Monza,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026762,True
2023-09-15T09:30Z,2023-09-17T12:00Z,Singapore Airlines Singapore GP,Marina Bay Street Circuit,4686,Carlos Sainz,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,Spain,/f1/race/_/id/600026763,True
2023-09-22T02:30Z,2023-09-24T05:00Z,Lenovo Japanese GP,Suzuka International Racing Course,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026764,True
2023-10-06T13:30Z,2023-10-08T17:00Z,Qatar Airways Qatar GP,Losail International Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026765,True
2023-10-20T17:30Z,2023-10-22T19:00Z,Lenovo United States GP,Circuit of the Americas,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026766,True
2023-10-27T18:30Z,2023-10-29T20:00Z,Mexico City GP,Autodromo Hermanos Rodriguez,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026787,True
2023-11-03T14:30Z,2023-11-05T17:00Z,Rolex São Paulo GP,Autodromo Jose Carlos Pace,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026788,True
2023-11-17T04:30Z,2023-11-19T06:00Z,Heineken Las Vegas GP,Las Vegas Street Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026789,True
2023-11-24T09:30Z,2023-11-26T13:00Z,Etihad Airways Abu Dhabi GP,Yas Marina Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600026790,True
2024-02-29T11:30Z,2024-03-02T15:00Z,Gulf Air Bahrain GP,Bahrain International Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600041133,True
2024-03-07T13:30Z,2024-03-09T17:00Z,STC Saudi Arabian GP,Jeddah Street Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600041134,True
2024-03-22T01:30Z,2024-03-24T04:00Z,Rolex Australian GP,Melbourne Grand Prix Circuit,4686,Carlos Sainz,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,Spain,/f1/race/_/id/600041135,True
2024-04-05T02:30Z,2024-04-07T05:00Z,MSC Cruises Japanese GP,Suzuka International Racing Course,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600041136,True
2024-04-19T03:30Z,2024-04-21T07:00Z,Lenovo Chinese GP,Shanghai International Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600041137,True
2024-05-03T16:30Z,2024-05-05T20:00Z,Crypto.com Miami GP,Miami International Autodrome,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600041138,True
2024-05-17T11:30Z,2024-05-19T13:00Z,MSC Cruises Emilia Romagna GP,Autodromo Enzo e Dino Ferrari,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600041139,True
2024-05-24T11:30Z,2024-05-26T13:00Z,Monaco GP,Circuit de Monaco,5498,Charles Leclerc,https://a.espncdn.com/i/teamlogos/countries/500/mon.png,Monaco,/f1/race/_/id/600041140,True
2024-06-07T17:30Z,2024-06-09T18:00Z,AWS Canadian GP,Circuit Gilles-Villeneuve,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600041141,True
2024-06-21T11:30Z,2024-06-23T13:00Z,Aramco Spanish GP,Madring,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600041142,True
2024-06-28T10:30Z,2024-06-30T13:00Z,Qatar Airways Austrian GP,Red Bull Ring,5503,George Russell,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600041143,True
2024-07-05T11:30Z,2024-07-07T14:00Z,Qatar Airways British GP,Silverstone Circuit,868,Lewis Hamilton,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600041144,True
2024-07-19T11:30Z,2024-07-21T13:00Z,Hungarian GP,Hungaroring,5752,Oscar Piastri,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,Australia,/f1/race/_/id/600041145,True
2024-07-26T11:30Z,2024-07-28T13:00Z,Rolex Belgian GP,Circuit de Spa-Francorchamps,868,Lewis Hamilton,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600041146,True
2024-08-23T10:30Z,2024-08-25T13:00Z,Heineken Dutch GP,Circuit Park Zandvoort,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600041147,True
2024-08-30T11:30Z,2024-09-01T13:00Z,Pirelli Italian GP,Autodromo Nazionale Monza,5498,Charles Leclerc,https://a.espncdn.com/i/teamlogos/countries/500/mon.png,Monaco,/f1/race/_/id/600041148,True
2024-09-13T09:30Z,2024-09-15T11:00Z,Qatar Airways Azerbaijan GP,Baku City Circuit,5752,Oscar Piastri,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,Australia,/f1/race/_/id/600041149,True
2024-09-20T09:30Z,2024-09-22T12:00Z,Singapore Airlines Singapore GP,Marina Bay Street Circuit,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600041150,True
2024-10-18T17:30Z,2024-10-20T19:00Z,Pirelli United States GP,Circuit of the Americas,5498,Charles Leclerc,https://a.espncdn.com/i/teamlogos/countries/500/mon.png,Monaco,/f1/race/_/id/600041151,True
2024-10-25T18:30Z,2024-10-27T20:00Z,Mexico City GP,Autodromo Hermanos Rodriguez,4686,Carlos Sainz,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,Spain,/f1/race/_/id/600041155,True
2024-11-01T14:30Z,2024-11-03T15:30Z,Lenovo São Paulo GP,Autodromo Jose Carlos Pace,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600041156,True
2024-11-22T02:30Z,2024-11-24T06:00Z,Heineken Las Vegas GP,Las Vegas Street Circuit,5503,George Russell,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600041157,True
2024-11-29T13:30Z,2024-12-01T16:00Z,Qatar Airways Qatar GP,Losail International Circuit,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600041152,True
2024-12-06T09:30Z,2024-12-08T13:00Z,Etihad Airways Abu Dhabi GP,Yas Marina Circuit,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600041153,True
2025-03-14T01:30Z,2025-03-16T04:00Z,Louis Vuitton Australian GP,Melbourne Grand Prix Circuit,5579,Lando Norris,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/600052045,True
2025-03-21T03:30Z,2025-03-23T07:00Z,Heineken Chinese GP,Shanghai International Circuit,5752,Oscar Piastri,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,Australia,/f1/race/_/id/600052046,True
2025-04-04T02:30Z,2025-04-06T05:00Z,Lenovo Japanese GP,Suzuka International Racing Course,4665,Max Verstappen,https://a.espncdn.com/i/teamlogos/countries/500/ned.png,Netherlands,/f1/race/_/id/600052047,True
2025-04-11T11:30Z,2025-04-13T15:00Z,Gulf Air Bahrain GP,Bahrain International Circuit,5752,Oscar Piastri,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,Australia,/f1/race/_/id/600052048,True
2025-04-18T13:30Z,2025-04-20T17:00Z,STC Saudi Arabian GP,Jeddah Street Circuit,5752,Oscar Piastri,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,Australia,/f1/race/_/id/600052049,True
2025-05-02T16:30Z,2025-05-04T20:00Z,Crypto.com Miami GP,Miami International Autodrome,5752,Oscar Piastri,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,Australia,/f1/race/_/id/600052050,True
